N-PSA,VNS30,B&BA
490,490,490
300,300,300
477,477,477
440,440,440
420,420,420
308,308,308
472,472,472
272,272,272
547,547,547
556,556,556
310,310,310
666,666,666
601,601,601
471,471,471
535,535,535
418,418,418
468,468,468
968,968,968
703,703,703
395,395,395
99,99,99
432,432,432
171,171,171
477,477,477
217,217,217
89,89,89
109,109,109
317,317,317
585,585,585
410,410,410
239,239,239
529,529,529
337,337,337
649,649,649
201,201,201
261,261,261
109,109,109
284,284,284
291,291,291
507,507,507
247,247,247
124,124,124
326,326,326
345,345,345
433,433,433
614,614,614
723,723,723
516,516,516
81,81,81
345,345,345
313,313,313
207,207,207
470,470,470
276,276,276
757,757,757
112,112,112
363,363,363
566,566,566
394,394,394
355,355,355
190,190,190
616,616,616
646,646,646
412,412,412
574,574,574
352,352,352
813,813,813
411,411,411
711,711,711
483,483,483
205,205,205
229,229,229
392,392,392
228,228,228
428,428,428
260,260,260
466,466,466
338,338,338
304,304,304
688,688,688
452,452,452
241,241,241
585,585,585
169,169,169
389,389,389
359,359,359
315,315,315
360,360,360
640,640,640
522,522,522
436,436,436
272,272,272
551,550,550
624,624,624
183,183,183
241,241,241
152,152,152
393,393,393
420,420,420
437,437,437
166,166,166
409,409,409
498,498,498
479,479,479
305,305,305
417,417,417
404,404,404
447,447,447
930,930,930
270,270,270
1000,1000,1000
446,446,446
93,93,93
464,464,464
112,112,112
217,217,217
573,573,573
555,555,555
1095,1095,1095
711,711,711
266,266,266
186,186,186
254,254,254
255,255,255
263,263,263
991,986,986
327,327,327
841,841,841
371,371,371
325,325,325
204,204,204
134,134,134
766,761,761
683,683,683
705,705,705
388,388,388
306,306,306
61,61,61
218,218,218
280,280,280
392,392,392
828,828,828
157,157,157
233,233,233
157,157,157
251,251,251
415,415,415
241,241,241
277,277,277
946,946,946
514,514,514
129,129,129
609,609,609
475,475,475
142,142,142
903,903,899
380,380,380
201,201,201
407,407,407
589,589,589
716,716,716
141,141,141
1027,1027,1027
729,729,729
675,675,675
1105,1105,1105
306,306,306
671,671,671
993,993,993
445,445,445
213,213,213
570,570,570
639,639,639
900,900,900
470,470,470
629,629,629
134,134,134
853,844,844
230,230,230
455,455,455
363,363,363
605,605,605
470,470,470
455,455,455
508,508,508
587,587,587
437,437,437
158,158,158
212,200,200
703,692,692
597,597,597
901,896,896
347,347,347
516,516,516
867,867,867
149,149,149
595,595,595
704,704,704
416,416,416
279,279,279
161,161,161
612,612,612
686,686,686
205,205,205
610,610,610
956,956,956
354,354,354
471,471,471
343,343,343
150,150,150
268,268,268
481,481,481
340,340,340
448,448,448
823,823,823
923,923,923
405,405,405
739,722,722
1709,1709,1709
475,475,475
237,237,237
932,932,932
278,278,278
435,435,435
297,297,297
798,798,798
1180,1180,1180
727,727,727
797,797,797
207,207,207
854,844,844
618,618,618
318,318,318
444,444,444
1155,1155,1155
490,490,490
505,505,505
323,323,323
450,450,450
1088,1088,1088
958,958,958
564,564,564
1015,1015,1015
267,267,267
970,865,865
1251,1251,1251
439,439,439
175,175,175
219,219,219
629,618,618
630,630,630
411,411,411
770,770,770
518,518,518
839,829,829
214,214,214
548,548,548
334,334,334
424,424,424
267,267,267
277,277,277
658,658,658
692,692,692
779,779,779
860,860,860
1064,1064,1064
1439,1439,1439
278,278,278
732,732,732
736,736,736
852,852,852
591,591,591
405,405,405
595,595,594
504,504,504
1545,1545,1545
1135,1135,1135
927,927,927
1062,1062,1062
213,213,213
1287,1287,1287
317,317,317
347,347,347
504,504,504
257,257,257
1100,1100,1100
611,611,611
1585,1585,1585
1151,1151,1151
630,630,630
856,856,856
2290,2290,2290
384,384,384
1024,1024,1024
883,883,883
426,426,426
463,463,463
900,898,898
1953,1948,1948
443,443,443
339,339,339
326,326,326
460,460,460
388,388,388
752,752,752
1128,1128,1128
575,575,575
433,433,433
253,253,253
301,301,301
183,183,183
570,570,570
10,10,10
461,461,461
470,470,470
492,492,492
473,473,473
68,68,68
581,581,581
931,931,931
32,32,32
135,135,135
326,326,326
0,0,0
597,597,597
666,666,666
928,928,928
539,539,539
209,209,209
286,286,286
11,11,11
653,653,653
561,561,561
381,381,381
1043,1043,1043
187,187,187
657,657,657
737,737,737
0,0,0
42,42,42
265,265,265
614,614,614
409,409,409
0,0,0
433,433,433
116,116,116
85,85,85
237,237,237
648,648,648
675,675,675
335,335,335
584,584,584
405,405,405
87,87,87
1486,1486,1486
485,485,485
753,753,753
643,643,643
590,590,590
13,13,13
644,644,644
303,303,303
169,169,169
367,367,367
278,278,278
328,328,328
225,225,225
154,154,154
411,411,411
771,771,771
1004,1004,1004
123,123,123
387,387,387
244,244,244
484,484,484
513,513,513
787,787,787
88,88,88
112,112,112
840,840,840
1372,1372,1372
0,0,0
716,716,716
0,0,0
0,0,0
1116,1116,1116
1276,1276,1276
61,61,61
98,98,98
962,962,962
112,112,112
563,563,563
678,678,678
44,44,44
263,263,263
484,481,481
450,450,450
645,645,645
413,413,413
401,401,401
329,329,329
272,272,272
1144,1144,1144
1228,1228,1228
152,152,152
832,832,832
944,944,944
0,0,0
947,947,947
106,106,106
0,0,0
486,486,486
0,0,0
220,220,220
243,243,243
1293,1293,1293
232,232,232
535,535,535
7,7,7
97,97,97
674,674,674
644,644,644
587,587,587
468,468,468
414,414,414
223,223,223
0,0,0
5,5,5
547,547,547
739,739,739
1223,1223,1223
1045,1045,1045
188,188,188
1132,1132,1132
75,75,75
417,417,417
49,49,49
45,45,45
87,87,87
74,74,74
99,99,99
572,572,572
32,32,32
124,124,124
0,0,0
977,977,977
859,859,859
1005,1005,1005
243,243,243
314,314,314
870,870,870
795,795,795
374,374,374
788,788,788
170,170,170
48,48,48
229,229,229
22,22,22
592,592,592
573,573,573
446,446,446
851,851,851
122,122,122
706,706,706
1244,1244,1244
96,96,96
889,889,889
108,108,108
1121,1121,1121
580,580,580
0,0,0
1242,1242,1242
693,693,693
421,421,421
348,348,348
120,120,120
0,0,0
81,81,81
138,138,138
672,672,672
167,167,167
765,765,765
191,191,191
231,231,231
192,192,192
311,311,311
23,23,23
15,15,15
733,733,733
167,167,167
224,224,224
933,933,933
159,159,159
788,788,788
580,580,580
109,109,109
296,296,296
556,556,556
485,485,485
0,0,0
236,236,236
633,633,633
341,341,341
626,623,623
334,334,334
440,440,440
1116,1116,1116
248,248,248
647,647,647
1657,1657,1657
1617,1617,1617
228,228,228
332,332,332
0,0,0
1000,1000,1000
52,52,52
355,355,355
0,0,0
778,778,778
243,243,243
1726,1726,1726
106,106,106
64,64,64
1052,1052,1052
332,332,332
454,454,454
390,390,390
1452,1452,1452
289,289,289
91,91,91
64,64,64
626,626,626
675,675,675
1111,1111,1111
198,198,198
97,97,97
386,386,386
46,46,46
371,371,371
287,287,287
1050,1050,1050
1189,1189,1189
798,798,798
211,211,211
692,692,692
2176,2176,2176
12,12,12
0,0,0
34,7,7
607,607,607
601,601,601
361,361,361
337,337,337
171,171,171
364,364,364
269,269,269
894,894,894
1211,1211,1211
29,29,29
149,149,149
1198,1198,1198
646,646,646
938,938,938
203,203,203
835,835,835
1373,1373,1373
0,0,0
774,774,774
806,806,806
538,538,538
1061,1061,1061
894,894,894
81,81,81
289,289,289
259,259,259
216,216,216
140,140,140
119,119,119
1492,1492,1492
355,355,355
69,69,69
788,788,788
1154,1154,1154
527,527,527
300,300,300
1643,1643,1643
170,170,170
628,628,628
395,395,395
1165,1165,1165
768,755,755
1452,1452,1452
97,97,97
1124,1124,1124
47,47,47
202,202,202
293,293,293
1017,1017,1017
1399,1399,1399
354,354,354
403,403,403
940,940,940
740,740,740
737,737,737
647,647,647
800,800,800
833,833,833
687,687,687
604,604,604
880,880,880
1419,1419,1419
469,469,469
558,558,558
856,856,856
977,977,977
611,611,611
901,901,901
1298,1298,1298
625,625,625
1106,1106,1106
766,766,766
829,829,829
1191,1191,1191
988,988,988
509,509,509
986,986,986
1224,1224,1224
1060,1060,1060
576,576,576
761,761,761
1585,1585,1585
1137,1137,1137
1000,1000,1000
637,637,637
882,882,882
1768,1768,1768
1468,1468,1468
657,657,657
316,316,316
1387,1387,1387
800,800,800
1042,1042,1042
906,906,906
1557,1557,1557
1543,1543,1543
986,986,986
1473,1473,1473
1117,1117,1117
875,875,875
1231,1231,1231
1028,1028,1028
1380,1380,1380
1136,1136,1136
986,986,986
966,965,965
829,829,829
628,628,628
1496,1496,1496
1326,1326,1326
1562,1562,1562
692,692,692
755,755,755
1819,1819,1819
1139,1139,1139
752,752,752
812,812,812
918,918,918
753,753,753
862,862,862
859,859,859
1515,1512,1512
1294,1294,1294
1173,1173,1173
1475,1474,1474
911,911,911
1232,1232,1232
899,899,899
968,962,962
1509,1509,1509
1405,1405,1405
630,630,630
1279,1279,1279
1445,1441,1441
1191,1191,1191
993,993,993
1215,1215,1215
1249,1249,1249
1023,1023,1023
820,820,820
1058,1058,1058
1161,1161,1161
1377,1386,1377
1409,1409,1409
1133,1133,1133
1159,1159,1159
665,665,665
1541,1541,1541
1471,1471,1471
1086,1086,1086
1020,1020,1020
1074,1074,1074
1938,1938,1938
1702,1702,1702
1070,1070,1070
1516,1516,1516
1225,1225,1225
1244,1244,1244
1155,1155,1155
1255,1255,1255
1099,1099,1099
975,975,975
1630,1630,1630
1683,1683,1683
1449,1449,1449
1874,1874,1874
1118,1118,1118
1403,1403,1403
1467,1467,1467
1405,1405,1405
1547,1547,1547
925,925,925
1242,1242,1242
1104,1104,1104
1517,1517,1517
829,829,829
1307,1307,1307
1022,1022,1022
1015,1015,1015
850,850,850
1680,1680,1680
765,765,765
1915,1915,1915
1947,1947,1947
1144,1144,1144
1335,1335,1335
1685,1685,1685
1125,1125,1125
1364,1364,1364
1643,1643,1643
1484,1484,1484
1511,1511,1511
1606,1606,1606
2140,2140,2140
1513,1513,1513
1530,1530,1530
1408,1408,1408
1210,1210,1210
1424,1424,1424
1210,1210,1210
1094,1094,1094
1840,1840,1840
2038,2038,2038
1886,1886,1886
1809,1809,1809
1785,1785,1785
1096,1096,1096
1609,1609,1609
1304,1304,1304
1106,1106,1106
822,822,822
1557,1557,1557
799,801,799
1947,1947,1947
2201,2201,2201
1967,1967,1967
1442,1442,1442
1010,1010,1010
2206,2206,2206
848,848,848
1498,1498,1498
1421,1421,1421
1687,1687,1687
1855,1853,1853
2517,2517,2517
2051,2036,2036
2589,2589,2589
903,903,903
1703,1703,1703
1219,1219,1219
2188,2188,2188
906,906,906
1919,1918,1918
1538,1538,1538
1612,1612,1612
1497,1497,1497
997,997,997
1166,1166,1166
1754,1753,1753
1551,1550,1550
1383,1383,1383
1994,1994,1994
2091,2091,2091
1737,1737,1737
2014,2014,2014
1762,1762,1762
1288,1288,1288
1581,1581,1581
999,999,999
1877,1876,1876
1807,1806,1806
2289,2289,2289
1716,1716,1716
1078,1078,1078
2136,2136,2136
1713,1713,1713
1341,1341,1341
2092,2081,2081
1171,1170,1170
1592,1592,1592
1882,1882,1882
1897,1897,1897
2709,2709,2709
2283,2283,2283
1492,1492,1492
1238,1238,1238
1191,1191,1191
1620,1614,1614
1620,1620,1620
1856,1856,1856
1554,1554,1554
963,963,963
1980,1980,1980
2022,2022,2022
1816,1816,1816
1632,1632,1632
1140,1140,1140
2988,2988,2988
1774,1774,1774
2307,2307,2307
1223,1223,1223
1575,1575,1575
2412,2412,2412
1104,1104,1104
1756,1756,1756
2225,2225,2225
1273,1273,1273
2086,2028,2028
1823,1823,1823
2526,2526,2526
1888,1888,1888
1787,1787,1787
1480,1480,1480
913,913,913
1543,1543,1543
1581,1581,1581
1845,1845,1845
1295,1295,1295
1509,1509,1509
2111,2111,2111
1515,1515,1515
2335,2335,2335
1841,1841,1841
1426,1426,1426
1863,1863,1863
2212,2212,2212
1739,1705,1705
2114,2114,2114
2438,2436,2436
1901,1900,1900
1406,1406,1406
1499,1499,1499
2216,2216,2216
2024,2024,2024
1316,1315,1315
1266,1266,1266
2287,2283,2283
2051,2051,2051
1018,1018,1018
1935,1935,1935
1369,1369,1369
3031,3031,3031
1457,1457,1457
2981,2981,2981
1993,1993,1993
2370,2370,2370
2942,2942,2942
1887,1880,1880
2873,2873,2873
2863,2863,2863
2415,2415,2415
3000,2993,2993
1672,1672,1672
3375,3363,3363
2175,2175,2175
1827,1823,1823
1674,1674,1674
2611,2611,2611
2010,1941,1941
3304,3304,3304
2652,2652,2652
2211,2192,2192
2662,2662,2662
1136,1136,1136
2363,2363,2363
2483,2483,2483
2595,2595,2595
2265,2265,2265
2330,2330,2330
2017,2017,2017
2384,2384,2384
1154,1154,1154
682,682,682
503,503,503
444,444,444
773,773,773
1018,1018,1018
936,936,936
1588,1587,1587
1638,1638,1638
845,845,845
1075,1075,1075
914,914,914
632,632,632
1655,1655,1655
198,198,198
1420,1420,1420
1029,1029,1029
877,877,877
996,996,996
1211,1211,1211
1416,1416,1416
1016,1008,1008
1320,1320,1320
183,183,183
1049,1049,1049
820,820,820
865,865,865
908,908,908
1193,1193,1193
723,723,723
1187,1187,1187
1094,1094,1094
1168,1168,1168
503,503,503
1418,1418,1418
1512,1512,1512
1945,1945,1945
1379,1379,1379
541,541,541
902,894,894
1258,1258,1258
1627,1627,1627
631,631,631
758,758,758
1721,1721,1721
1065,1065,1065
812,812,812
381,381,381
393,393,393
1155,1155,1155
1225,1225,1225
653,653,653
1317,1317,1317
393,393,393
1778,1778,1778
1430,1430,1430
1164,1164,1164
1408,1408,1408
1408,1408,1408
2399,2399,2399
1040,1040,1039
560,549,549
472,472,472
1634,1634,1634
1458,1458,1458
189,189,189
1628,1628,1628
406,406,406
689,689,689
1422,1422,1422
1055,1055,1055
1860,1859,1859
1207,1207,1207
1474,1474,1474
393,393,393
1342,1342,1342
1441,1441,1441
2016,2016,2016
1504,1504,1504
1133,1133,1133
1925,1925,1925
536,536,536
634,634,634
1441,1441,1441
1217,1217,1217
1356,1356,1356
670,668,668
1290,1290,1290
1606,1606,1606
1230,1230,1230
924,924,924
2117,2117,2117
1883,1883,1883
1547,1547,1547
1773,1773,1773
1015,1015,1015
179,179,179
1081,1081,1081
1824,1824,1824
1370,1360,1360
1617,1617,1617
1014,1014,1014
1986,1984,1984
993,993,993
1731,1731,1731
1591,1591,1591
1271,1281,1271
908,908,908
374,374,374
1186,1186,1186
1714,1714,1714
370,370,370
546,546,546
1461,1461,1461
654,654,654
1810,1810,1810
1940,1940,1940
1529,1529,1529
1592,1592,1592
1787,1787,1787
2332,2332,2332
1316,1316,1316
1545,1545,1545
1414,1414,1414
837,837,837
1042,1042,1042
825,825,825
997,997,997
2493,2493,2493
1509,1509,1509
2117,2117,2117
1101,1101,1101
1564,1564,1564
1166,1166,1166
940,940,940
1010,1010,1010
1043,1043,1043
1632,1632,1632
1813,1813,1813
837,837,837
2052,2052,2052
1863,1863,1863
1442,1442,1442
1336,1336,1336
1682,1682,1682
1141,1141,1141
1814,1814,1814
1699,1699,1699
1639,1639,1639
1219,1219,1219
2298,2298,2298
2321,2321,2321
2513,2513,2513
400,400,400
1811,1811,1811
2001,2001,2001
297,297,297
1468,1468,1468
1404,1404,1404
1436,1436,1436
717,717,717
2568,2568,2568
1962,1962,1962
1204,1204,1204
1957,1948,1948
2070,2070,2070
2392,2392,2392
3578,3578,3578
2142,2142,2142
1672,1672,1672
1919,1919,1919
1627,1627,1627
1008,1008,1008
2139,2138,2138
1826,1826,1826
2153,2153,2153
583,583,583
352,352,352
2175,2175,2175
1344,1344,1344
830,830,830
866,863,863
1909,1909,1909
561,561,561
1494,1494,1494
850,850,850
1830,1830,1830
1892,1892,1892
1632,1632,1632
871,859,859
2502,2502,2502
1238,1238,1238
1667,1667,1667
1524,1524,1524
2221,2221,2221
2296,2296,2296
2882,2882,2882
1656,1656,1656
1126,1126,1126
1425,1425,1425
1557,1557,1557
1594,1594,1594
873,873,873
1633,1633,1633
1804,1792,1792
1626,1619,1619
903,903,903
3163,3163,3163
930,930,930
1524,1524,1524
3442,3442,3442
1615,1615,1615
671,671,671
2793,2793,2793
1688,1688,1688
441,441,441
1770,1770,1770
2387,2387,2387
1879,1879,1879
752,752,752
3801,3801,3801
1582,1582,1582
1973,1973,1973
1282,1282,1282
780,780,780
1848,1848,1848
853,853,853
1990,1990,1990
1421,1421,1421
2077,2077,2077
1739,1739,1739
3360,3360,3360
3190,3156,3156
3295,3295,3295
1204,1204,1204
1150,1150,1150
3353,3353,3353
1565,1565,1565
1407,1407,1407
1770,1770,1770
1517,1517,1517
1583,1583,1583
2030,2030,2030
1975,1975,1975
1942,1942,1942
2459,2459,2459
1627,1627,1627
1936,1936,1936
2119,2119,2119
1943,1943,1943
2712,2712,2712
3638,3638,3638
2074,2074,2074
1514,1514,1514
2460,2460,2460
2947,2947,2947
1760,1760,1760
2637,2637,2637
3322,3322,3322
1272,1272,1272
1901,1901,1901
2273,2273,2273
1701,1701,1701
3374,3374,3374
3078,3078,3078
2105,2105,2105
2251,2251,2251
2004,2004,2004
1276,1276,1276
1266,1266,1266
2478,2478,2478
2049,2049,2049
2392,2392,2392
2601,2601,2601
3199,3188,3188
2627,2627,2627
1983,1983,1983
2682,2673,2673
1267,1267,1267
2392,2392,2392
1202,1202,1202
3417,3417,3417
1494,1494,1494
894,894,894
1295,1295,1295
3349,3349,3349
1277,1274,1274
1501,1501,1501
2740,2740,2740
4430,4430,4430
4901,4901,4901
1216,1216,1216
2454,2454,2454
3498,3490,3490
2472,2450,2450
2018,2018,2018
1256,1256,1256
2964,2958,2958
2233,2233,2233
3011,3011,3011
